,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Qid,Question,Time,Qtype,Dependant,Description,PLR0,PLR1,NLR0,NLR1,PLR,NLR,options,Unnamed: 14,GCAPS,Shmirling,Unnamed: 17
18,18,18,73.0,3011.0,Ear pain,1.0,B,,Any pain in the ear.,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
19,19,19,12.0,3012.0,Any visual disturbance,1.0,B,,check papers,1.1824999999999999,1.2175,0.914,0.926,1.2,0.92,,,,,
20,20,20,13.0,3013.0,Any permanent loss of vison,1.0,B,3012.0,Permanent complete or partial visual loss/field defect/blindness/RAPD,1.442,1.518,0.916,0.924,1.48,0.92,,,,,
21,21,21,,3014.0,Unilateral permanent loss of vision,1.0,B,3012.0,Permanent complete or partial visual loss/field defect/blindness in one eye,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
22,22,22,15.0,3015.0,Transient loss of vision,1.0,B,3012.0,"Transient vision loss lasting seconds to hours, may be monocular (amaurosis fugax), consecutive, alternating or binocular.",1.424,1.596,0.9555,0.9644999999999999,1.51,0.96,,,,1.0,
23,23,23,16.0,3016.0,Double vision (diplopia),1.0,B,3012.0,Double vision that disappears when one eye is closed,1.6445,1.7954999999999999,0.968,0.972,1.72,0.97,,,,1.0,
24,24,24,18.0,3017.0,Cerebrovascular accident (ischaemic stroke),1.0,B ,,"An acute or recent event, considered to be part of the current clinical presentation",0.563,0.6970000000000001,1.016,1.024,0.63,1.02,Is this dependent on the cranial or vision loss symptoms? NO,,,,
25,25,25,,3017.0,Vertigo,,B,,,0.6639999999999999,0.756,1.0865,1.1135000000000002,0.71,1.1,LRs taken from Shmerling not Mackie,,,1.0,
26,26,26,19.0,,Systemic Symptoms,,H,,,,,,,,,,,,,
27,27,27,20.0,4001.0,Constitutional  symptoms,1.0,B,,"Any of fatigue, malaise, loss of appetite, weight loss, fever and night sweats. ",1.151,1.1889999999999998,0.771,0.8290000000000001,1.17,0.8,,,1.0,,
28,28,28,,4002.0,Fatigue,,,,,1.179,1.2209999999999999,9.393,9.407,1.2,9.4,LRs taken from Shmerling not Mackie,,,,
29,29,29,21.0,4003.0,Malaise,1.0,B,4001.0,,1.1335,1.1664999999999999,0.848,0.872,1.15,0.86,Is this dependent on 4001? 40002-4006 are types of constituional symptoms,,1.0,1.0,
30,30,30,22.0,4004.0,Anorexia,1.0,B,4001.0,Loss of appetite,1.5525,1.6075000000000002,0.79,0.81,1.58,0.8,,,,1.0,
31,31,31,23.0,4005.0,Weight loss,1.0,B,4001.0,,1.663,1.7169999999999999,0.78,0.8,1.69,0.79,Can we define this more clearly,,1.0,1.0,
32,32,32,24.0,4006.0,Fever,1.0,B,4001.0,,1.1875,1.2325,0.9355,0.9444999999999999,1.21,0.94,,,1.0,1.0,
33,33,33,25.0,4007.0,Night sweats,1.0,B,4001.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
34,34,34,26.0,,Other Features,,H,,,,,,,,,,,,,
35,35,35,27.0,5001.0,Arthralgia,1.0,B,,Any aching of joints (either polymyalgic or non-polymyalgic in nature),0.9175,0.9824999999999999,1.0085,1.0315,0.95,1.02,,,,1.0,
36,36,36,28.0,5002.0,Myalgia ,1.0,B,,Any aching of muscles (either polymyalgic or non-polymyalgic in nature),0.9189999999999999,0.961,1.0330000000000001,1.067,0.94,1.05,,,,1.0,
37,37,37,29.0,5003.0,Active PMR symptoms,1.0,B,,Bilateral shoulder +/- hip girdle ache associated with morning stiffness lasting >45 minutes; passive shoulder movement > active shoulder movement,1.276,1.324,0.8945000000000001,0.9055,1.3,0.9,LR ratios for these ,,,1.0,
38,38,38,,5004.0,Possible active PMR symptoms,1.0,B,,"Bilateral shoulder +/- hip girdle ache associated with morning stiffness, but PMR definition above not fulfilled",1.0,1.0,1.0,1.0,1.0,1.0,,,,,
39,39,39,30.0,5005.0,Previous PMR,1.0,B,,"Previous PMR, or currently taking treatment for PMR",1.8834999999999997,2.2565,0.8795000000000001,0.9005,2.07,0.89,"Ignore what I said in an earlier version, you should be able to answer all three PMR questions",,,,
40,40,40,31.0,5006.0,Limb claudication,1.0,B,,,4.761,7.239,0.8225,0.8374999999999999,6.0,0.83,,,,,
41,41,41,,,Physical and fundoscopic abnormlaities,,H,,,0.38549999999999995,0.4345,1.09,1.11,0.41,1.1,,,,1.0,
42,42,42,33.0,6001.0,Any temporal artery abnormality,,B,,,2.2075,2.3725,0.596,0.624,2.29,0.61,,,0.0,,
43,43,43,34.0,6002.0,Temporal tenderness,,B,6001.0,Tenderness specifically overlying the temporal artery,2.7645,3.5155000000000003,0.5619999999999999,0.598,3.14,0.58,ASK SARAH: did her paper mean temporal region or temporal artery tendernss (its the latter in Smetana),,1.0,1.0,
44,44,44,35.0,6003.0,Temporal artery thickening,,B,6001.0,"Beaded, prominant, enlarged temporal artery",4.416,4.984,0.597,0.623,4.7,0.61,,,1.0,1.0,
45,45,45,36.0,6004.0,Temporal artery loss of pulse,,B,6001.0,,3.163,3.337,0.6915,0.7084999999999999,3.25,0.7,,,1.0,1.0,
46,46,46,32.0,6005.0,Synovitis,,B,,,0.38549999999999995,0.4345,1.09,1.11,0.41,1.1,LRs taken from Shmerling not Mackie,,,,
47,47,47,75.0,6007.0,Head and or neck pain exascerbated / reproduced with neck movements,,B,3001.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
48,48,48,,6008.0,Spurlings manouvre reproduces temporal region pain,,B,,"Spurlings manouvre is a test for cervical radicular pain, including cervicogenic headache. Headache usually parieto/temporal radiating from the occiput and neck is reproduced with neck extension and lateral flexion of the neck to the side of the pain +/- axial compression.",1.0,1.0,1.0,1.0,1.0,1.0,,,,,
49,49,49,37.0,6009.0,Cranial nerve palsy,,B,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
50,50,50,,6010.0,Any fundoscopic abnormality,,B,,,1.07,1.1300000000000001,0.991,1.009,1.1,1.0,LRs from Shmirling,,,1.0,
51,51,51,38.0,6011.0,AION,,B,3005.0,Anterior Ischemic Optic Neuropathy,2.0749999999999997,2.225,0.849,0.871,2.15,0.86,Cant be answered by a reum,,,1.0,
52,52,52,39.0,6012.0,ION,,B,3005.0,Ischemic optic neuropathy,1.5985,1.8615,0.8755000000000001,0.9045,1.73,0.89,,,,1.0,
53,53,53,40.0,6013.0,CRAO,,B,3005.0,Central retinal artery occlusion,1.288,1.692,0.975,0.985,1.49,0.98,,,,,
54,54,54,41.0,,Laboratory findings,,H,,,,,,,,,,,,,
55,55,55,42.0,7001.0,Anemia,,B,,,1.207,1.2329999999999999,0.8127,0.8272999999999999,1.22,0.82,sort out units - ,,,1.0,
56,56,56,44.0,7002.0,Haemaglobin (g/L),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,sort out units - ,,,,
57,57,57,45.0,7022.0,>70,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
58,58,58,46.0,7032.0,>120,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
59,59,59,48.0,7003.0,platlet count (x 1000/μL),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
60,60,60,49.0,7013.0,>200,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
61,61,61,50.0,7023.0,>400,,SA,,,3.524,3.976,0.6035,0.6365,3.75,0.62,,,,,
62,62,62,51.0,7004.0,CRP (mg/L),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,"Europe uses decilitres, sort out units",,1.0,,Give units
63,63,63,52.0,7014.0,>1,,SA,,,1.2625,1.2775,0.3865,0.41350000000000003,1.27,0.4,,,,,
64,64,64,53.0,7024.0,>25,,SA,,,1.6945,1.7655,0.363,0.397,1.73,0.38,,,,,
65,65,65,56.0,7005.0,ESR (mm/h),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
66,66,66,57.0,7015.0,>40,,SA,,,1.452,1.528,0.162,0.19799999999999998,1.49,0.18,,,,,
67,67,67,58.0,7025.0,>50,,SA,,,1.381,1.4189999999999998,0.46799999999999997,0.492,1.4,0.48,,,,1.0,
68,68,68,59.0,7035.0,>60,,SA,,,2.3175,2.4825,0.40299999999999997,0.437,2.4,0.42,,,,,
69,69,69,60.0,7045.0,>80,,SA,,,2.6605,2.9195,0.5755,0.6244999999999999,2.79,0.6,,,,,
70,70,70,61.0,7065.0,>100,,SA,,,2.8425,3.3775,0.8069999999999999,0.833,3.11,0.82,,,,1.0,
71,71,71,55.0,7006.0,ESR Elevated,,B,,>20mm/hr for men :& >30mm/hr for women ,1.2365,1.2635,0.493,0.527,1.25,0.51,,,,,
72,72,72,62.0,7007.0,eGFR (ml/min/1.73 m2),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
73,73,73,63.0,7017.0,>40,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
74,74,74,64.0,7027.0,>80,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
75,75,75,65.0,7008.0,ALT (IU/L),,S,,Alanine transaminase,1.0,1.0,1.0,1.0,1.0,1.0,Unfortunately these have to be numerical thresholds,,,,
76,76,76,66.0,7018.0,>40,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
77,77,77,,7028.0,>50,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
78,78,78,67.0,8000.0,NOTES: include any additional features which appear to increase or decrease the likelihood of GCA,,B,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
