,Unnamed: 0,Unnamed: 0.1,Qid,Question,Time,Qtype,Dependant,Description,PLR0,PLR1,NLR0,NLR1,PLR,NLR,options,Unnamed: 14,GCAPS,Shmirling,Unnamed: 17
18,18.0,73.0,3011.0,Ear pain,1.0,B,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
19,19.0,12.0,3012.0,Any visual disturbance,1.0,B,,check papers,1.04,1.39,0.86,0.98,1.2,0.92,,,,,
20,20.0,13.0,3013.0,Any permanent loss of vison,1.0,B,3012.0,Permanent complete or partial visual loss/field defect/blindness/RAPD,1.15,1.91,0.88,0.96,1.48,0.92,,,,,
21,21.0,,3014.0,Unilateral permanent loss of vision,1.0,B,3012.0,Permanent complete or partial visual loss/field defect/blindness in one eye,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
22,22.0,15.0,3015.0,Transient loss of vision,1.0,B,3012.0,"Transient vision loss lasting seconds to hours, may be monocular (amaurosis fugax), consecutive, alternating or binocular.",0.88,2.6,0.92,1.01,1.51,0.96,,,,1.0,
23,23.0,16.0,3016.0,Double vision (diplopia),1.0,B,3012.0,Double vision that disappears when one eye is closed,1.12,2.63,0.95,0.99,1.72,0.97,,,,1.0,
24,24.0,18.0,3017.0,Cerebrovascular accident (ischaemic stroke),1.0,B ,,"An acute or recent event, considered to be part of the current clinical presentation",0.25,1.59,0.98,1.06,0.63,1.02,Is this dependent on the cranial or vision loss symptoms? NO,,,,
25,25.0,,3017.0,Vertigo,,B,,,0.38,1.3,0.93,1.2,0.71,1.1,LRs taken from Shmerling not Mackie,,,1.0,
26,26.0,19.0,,Systemic Symptoms,,H,,,,,,,,,,,,,
27,27.0,20.0,4001.0,Constitutional  symptoms,1.0,B,,"Any of fatigue, malaise, loss of appetite, weight loss, fever and night sweats. ",1.0,1.38,0.56,1.14,1.17,0.8,,,1.0,,
28,28.0,,4002.0,Fatigue,,,,,0.98,1.4,0.86,1.0,1.2,9.4,LRs taken from Shmerling not Mackie,,,,
29,29.0,21.0,4003.0,Malaise,1.0,B,4001.0,,1.0,1.33,0.75,0.99,1.15,0.86,Is this dependent on 4001? 40002-4006 are types of constituional symptoms,,1.0,1.0,
30,30.0,22.0,4004.0,Anorexia,1.0,B,4001.0,Loss of appetite,1.33,1.88,0.71,0.91,1.58,0.8,,,,1.0,
31,31.0,23.0,4005.0,Weight loss,1.0,B,4001.0,,1.44,1.98,0.71,0.91,1.69,0.79,Can we define this more clearly,,1.0,1.0,
32,32.0,24.0,4006.0,Fever,1.0,B,4001.0,,1.01,1.46,0.9,0.99,1.21,0.94,,,1.0,1.0,
33,33.0,25.0,4007.0,Night sweats,1.0,B,4001.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,
34,34.0,26.0,,Other Features,,H,,,,,,,,,,,,,
35,35.0,27.0,5001.0,Arthralgia,1.0,B,,Any aching of joints (either polymyalgic or non-polymyalgic in nature),0.68,1.33,0.91,1.14,0.95,1.02,,,,1.0,
36,36.0,28.0,5002.0,Myalgia ,1.0,B,,Any aching of muscles (either polymyalgic or non-polymyalgic in nature),0.75,1.17,0.89,1.23,0.94,1.05,,,,1.0,
37,37.0,29.0,5003.0,Active PMR symptoms,1.0,B,,Bilateral shoulder +/- hip girdle ache associated with morning stiffness lasting >45 minutes; passive shoulder movement > active shoulder movement,1.08,1.56,0.84,0.95,1.3,0.9,LR ratios for these ,,,1.0,
38,38.0,,5004.0,Possible active PMR symptoms,1.0,B,,"Bilateral shoulder +/- hip girdle ache associated with morning stiffness, but PMR definition above not fulfilled",1.0,1.0,1.0,1.0,1.0,1.0,,,,,
39,39.0,30.0,5005.0,Previous PMR,1.0,B,,"Previous PMR, or currently taking treatment for PMR",0.92,4.65,0.79,1.0,2.07,0.89,"Ignore what I said in an earlier version, you should be able to answer all three PMR questions",,,,
40,40.0,31.0,5006.0,Limb claudication,1.0,B,,,1.38,26.16,0.76,0.91,6.0,0.83,,,,,
41,41.0,,,Physical and fundoscopic abnormlaities,,H,,,0.23,0.72,1.0,1.2,0.41,1.1,,,,1.0,
42,42.0,33.0,6001.0,Any temporal artery abnormality,,B,,,1.61,3.26,0.49,0.77,2.29,0.61,,,0.0,,
43,43.0,34.0,6002.0,Temporal tenderness,,B,6001.0,Tenderness specifically overlying the temporal artery,1.14,8.65,0.43,0.79,3.14,0.58,ASK SARAH: did her paper mean temporal region or temporal artery tendernss (its the latter in Smetana),,1.0,1.0,
44,44.0,35.0,6003.0,Temporal artery thickening,,B,6001.0,"Beaded, prominant, enlarged temporal artery",2.65,8.33,0.5,0.76,4.7,0.61,,,1.0,1.0,
45,45.0,36.0,6004.0,Temporal artery loss of pulse,,B,6001.0,,2.49,4.23,0.62,0.79,3.25,0.7,,,1.0,1.0,
46,46.0,32.0,6005.0,Synovitis,,B,,,0.23,0.72,1.0,1.2,0.41,1.1,LRs taken from Shmerling not Mackie,,,,
47,47.0,75.0,6007.0,Head and or neck pain exascerbated / reproduced with neck movements,,B,3001.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
48,48.0,,6008.0,Spurlings manouvre reproduces temporal region pain,,B,,"Spurlings manouvre is a test for cervical radicular pain, including cervicogenic headache. Headache usually parieto/temporal radiating from the occiput and neck is reproduced with neck extension and lateral flexion of the neck to the side of the pain +/- axial compression.",1.0,1.0,1.0,1.0,1.0,1.0,,,,,
49,49.0,37.0,6009.0,Cranial nerve palsy,,B,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
50,50.0,,6010.0,Any fundoscopic abnormality,,B,,,0.8,1.4,0.92,1.1,1.1,1.0,LRs from Shmirling,,,1.0,
51,51.0,38.0,6011.0,AION,,B,3005.0,Anterior Ischemic Optic Neuropathy,1.53,3.03,0.75,0.97,2.15,0.86,Cant be answered by a reum,,,1.0,
52,52.0,39.0,6012.0,ION,,B,3005.0,Ischemic optic neuropathy,0.86,3.49,0.76,1.05,1.73,0.89,,,,1.0,
53,53.0,40.0,6013.0,CRAO,,B,3005.0,Central retinal artery occlusion,0.49,4.53,0.93,1.03,1.49,0.98,,,,,
54,54.0,41.0,,Laboratory findings,,H,,,,,,,,,,,,,
55,55.0,42.0,7001.0,Anemia,,B,,,1.1,1.36,0.774,0.92,1.22,0.82,sort out units - ,,,1.0,
56,56.0,44.0,7002.0,Haemaglobin (g/L),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,sort out units - ,,,,
57,57.0,45.0,7022.0,>70,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
58,58.0,46.0,7032.0,>120,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
59,59.0,48.0,7003.0,platlet count (x 1000/μL),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
60,60.0,49.0,7013.0,>200,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
61,61.0,50.0,7023.0,>400,,SA,,,2.12,6.64,0.47,0.8,3.75,0.62,,,,,
62,62.0,51.0,7004.0,CRP (mg/L),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,"Europe uses decilitres, sort out units",,1.0,,Give units
63,63.0,52.0,7014.0,>1,,SA,,,1.2,1.35,0.29,0.56,1.27,0.4,,,,,
64,64.0,53.0,7024.0,>25,,SA,,,1.41,2.12,0.25,0.59,1.73,0.38,,,,,
65,65.0,56.0,7005.0,ESR (mm/h),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
66,66.0,57.0,7015.0,>40,,SA,,,1.16,1.92,0.08,0.44,1.49,0.18,,,,,
67,67.0,58.0,7025.0,>50,,SA,,,1.22,1.6,0.38,0.62,1.4,0.48,,,,1.0,
68,68.0,59.0,7035.0,>60,,SA,,,1.71,3.36,0.28,0.62,2.4,0.42,,,,,
69,69.0,60.0,7045.0,>80,,SA,,,1.78,4.37,0.41,0.9,2.79,0.6,,,,,
70,70.0,61.0,7065.0,>100,,SA,,,1.43,6.78,0.7,0.96,3.11,0.82,,,,1.0,
71,71.0,55.0,7006.0,ESR Elevated,,B,,>20mm/hr for men :& >30mm/hr for women ,1.12,1.39,0.37,0.71,1.25,0.51,,,,,
72,72.0,62.0,7007.0,eGFR (ml/min/1.73 m2),,S,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
73,73.0,63.0,7017.0,>40,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
74,74.0,64.0,7027.0,>80,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
75,75.0,65.0,7008.0,ALT (IU/L),,S,,Alanine transaminase,1.0,1.0,1.0,1.0,1.0,1.0,Unfortunately these have to be numerical thresholds,,,,
76,76.0,66.0,7018.0,>40,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
77,77.0,,7028.0,>50,,SA,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
78,78.0,67.0,8000.0,NOTES: include any additional features which appear to increase or decrease the likelihood of GCA,,B,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
